#{"t_start": 1777144035.263333, "env_id": "None"}
r,l,t
85.372175,154,3.070994187.018721,193,3.88027385.53.692139,142,4.631312100.851339,194,5.61690686111.936029,209,6.90988
29.20881,111,7.587447
12.364216,86,8.105571
28.556174,100,13.07477.5613.68.696825,149,13.841967.024.678446,95,14.386276.018.894062,90,14.9249132.20.215208,93,15.489.073.74.058915,139,16.180.175.793468,135,16.890050.89875.525263,1366.488184.12276.529944,129.8698935.7969.888453,138,22.36348.5478.387217,144,23.19592.935357,167,23.937199
40.107272,121,24.655483
80.52552,156,25.52707
82.320271,152,26.387568
73.508089,153,27.240762
43.495687,118,31.370202
89.266535,151,32.170399
36.032455,103,32.709693
78.663506,155,33.554539
44.300109,119,34.20856
86.06337,149,34.96659
14.373321,75,35.36809
27.9441,102,35.930585
80.855786,166,40.493794
60.571356,150,41.399535
85.035043,149,42.296798
78.407346,158,43.215883
80.629946,145,44.094707
43.148948,114,44.799171
41.749711,113,45.484705
48.235709,129,46.252684
84.651294,157,51.125546
42.718765,113,51.727761
38.587093,111,52.325214
22.0447,99,52.87616
29.810296,96,53.391782
61.933203,147,54.161038
45.963251,119,54.818777
7569.959865,165,55.6910638989.896911,164,60.28829492.563443,155,61.04157
72.291298,151,61.889026
65.362394,154,62.733212
77.455468,147,63.581642
90.853261,154,64.4545
4.663689,62,64.791008
-1.612944,48,65.084435
91.931073,163,69.611226
67.267319,153,70.402302
64.420671,144,71.1474257922.496465,100,71.6954795978.827317,151,72.4608182076.768052,171,73.391777
42.48002,118,74.018314
93.507636,147,78.588919
65.088861,148,79.472149
82.430931,159,80.372337
40.21778,114,81.018572
85.516293,159,81.96517
78.448967,150,82.883381
91.444844,152,83.78174
23.795231,98,88.122611
-5.993392,36,88.368555
-5.061164,37,88.61115
-4.665711,41,88.882847
-6.915294,43,89.187042
-6.788095,33,89.415308
-6.992261,31,89.622935
-6.160208,32,89.861423
-5.853254,36,90.106448
-6.337492,36,90.356844
-6.708969,30,90.583802
-7.643818,35,90.816472
-4.855776,37,91.106667
-6.171537,36,91.351594
-5.92566,36,91.610531
-6.834891,35,91.836954
-6.879987,36,92.088448
-6.775183,31,92.317496
-7.352031,37,92.570906
-5.879571,33,92.796485
-4.990129,39,93.066679
-5.615522,35,93.301587
-6.176357,39,93.584727
-6.610399,37,93.826575
-8.229119,37,94.091522
-6.672454,33,94.316724
-4.293142,44,94.620888
-6.832749,32,94.838868
-6.373451,35,95.095922
-7.553172,45,98.873346
-6.069986,37,99.133234
-6.20334,36,99.393637
-5.02881,38,99.653506
-2.925114,42,99.955522
-7.72145,36,100.21226
-6.879083,36,100.47516
-8.043494,36,100.743348
-4.519739,47,101.07764
-5.171326,38,101.35825
-5.791296,33,101.598533
-6.213819,37,101.836162
-9.21255,53,102.212281
-7.794049,38,102.4834
-7.683067,32,102.718851
-4.635527,44,103.021816
-6.448966,41,103.312551
-6.502127,38,103.59102
-6.331585,35,103.825424
-6.404234,36,104.090051
-6.016259,34,104.33044
-6.075458,45,104.651968
-6.826148,33,104.905923
-1.695787,46,105.250355
-4.901388,37,105.472837
-6.059345,35,105.733833
13.256399,102,109.647626
-4.576371,44,109.922761
-7.721717,40,110.157805
1.016004,55,110.48343
-3.929,42,110.74217
-3.611517,47,111.042737
1.558609,52,111.333788
8.822333,67,111.748109
-1.401602,46,112.019212
-5.895867,32,112.210506
-5.904184,39,112.465103
-4.665134,46,112.736739
-4.514752,38,112.946436
-3.278291,45,113.19385
-2.824533,49,113.494611
58.37865,151,114.406149
-1.99638,49,114.700231
-5.536995,41,114.946117
0.083195,56,115.289633
-0.375204,52,119.218412
-3.663115,48,119.523047
-3.785188,4831.961135,1167.061992,144,120.711083
26.398431,98,121.334181
-1.120171,56,121.717575
-4.675021,41,121.947415
-2.698365,13.775975,76,1213.093558,93,122.833447
-3.645282,44,123.114204
13.2966057.358444,139,1232.671863,43.164658,123,124.484583
7.225721,69,124.905473
35.770489,113,128.951618
83.735288,141,129.711472
42.832956,129,130.425276
85.411422,149,131.237033
5.124994,65,131.574701
10.932798,72,132.010331
24.262811,87,132.49141
5.99295,65,132.857697
-0.329839,50,133.160958
63.350102,138,133.947524
4.150013,49,134.248616
78.916788,141,138.376321
32.686577,108,138.98098
66.927539,144,139.793361
-0.386035,54,140.082956
80.267781,141,140.890906
82.834631,143,141.682318
53.289137,123,142.366119
90.719107,135,143.110953
28.00848,94,147.309824
79.182952,130,148.00521
39.769901,95,148.490666
71.44702,136,149.199284
78.212581,137,149.906608
83.212301,143,150.657844
21.974554,78,151.048852
55.870071,136,151.787565
80.558592,145,156.706073
42.031922,102,157.332117
82.763818,132,158.127166
49.238005,124,158.905273
78.446322,148,159.775832
38.754181,103,160.394839
36.456675,104,161.047114
80.316558,133,161.814198
32.458406,115,162.536286
79.3326,137,167.059804
90.041548,137,167.783533
74.929242,135,168.52149
76.399667,143,169.287702
87.230224,141,170.043134
77.751982,135,170.740787
70.892789,132,171.433821
69.897028,130,176.216536
84.225444,137,176.978184
75.748513,138,177.769357
86.751543,126,178.492447
72.288685,143,179.273121
94.764481,151,180.104838
81.897204,140,180.869006
82.869337,137,181.656921
80.588099,141,186.08689
91.408525,136,186.808609
87.123901,139,187.54063
93.845672.709237,163,188.390.01490.784756,171,189.2787.82338.368212,117,189.8973.82464.226185,145,190.6485.86384.635369,152,195.8573.78357.809442,132,196.6577.60898.560661,161,197.6083.866541,158,198.251098
89.743569,154,199.201288
85.8683.655383,160,200.08944.7082.47743,159,201.002185.485.163829,160,205.208483.086.704149,160,206.052481.891.275497,163,206.90080.3983.556092,185,207.898746
89.596164,157,208.750066
47.409828,120,209.370764
29.408783,102,209.926718
21.846304,82,214.08235.1191.393579,179,215.0687.293101.122336,169,215.993804
31.97405,102,216.574.443945.819902,136,217.392.070237.974021,115,217.981.92446.015278,120,218.6384.37593.44123,171,222.79574.4883.133,165,223.669695
44.132131,122,224.2758827493.142835,180,225.221304
79.192966,166,226.070071
88.928836,166,226.907598
81.319995,168,227.83136
96.875577,181,232.763665
93.736275,182,233.818581
89.472751,188,234.906659
93.306568,179,235.994526
104.795157,186,237.051253
49.942029,141,237.857499
87.370555,166,242.716377
85.705452,177,243.715424
96.076602,167,244.648917
93.366122,165,245.553527
95.728519,163,246.475322
43.684319,122,247.199504
99.69768,169,251.30065
104.941559,182,252.333521
98.473677,166,253.248748
95.147608,190,254.353038
101.984214,179,255.305383
90.722212,176,256.273874
98.957687,185,260.577682
85.704702,159,261.498312
42.231652,115,262.246691
52.576051,155,263.249853
41.951283,121,263.954636
95.106885,198,265.082517
45.358572,123,265.800539
95.243681,188,270.496812
95.445801,172,271.560343
88.661614,166,272.686137
99.768753,174,273.83126
48.624875,145,274.749146
38.822059,124,275.562862
44.278953,114,280.202742
71.32106,162,281.238642
100.298391,192,282.511542
94.829482,169,283.657685
93.084663,172,284.781096
63.893761,162,285.878005
41.740114,139,290.73242
46.850924,121,291.516071
93.665472,171,292.65379
90.582356,178,293.852048
99.101352,171,294.996818
27.125012,126,295.863367
99.351381,170,297.013662
99.96596,187,301.930244
102.780084,162,302.858258
92.584369,187,303.929193
89.194791,188,304.97234
95.19603,180,305.972278
43.384321,128,306.684346
102.068326,193,311.67556
91.850054,165,312.534356
101.061174,172,313.519703
43.153503,156,314.42372
97.926198,181,315.388424
103.512269,166,316.266405
83.013521,159,320.24109
104.827027,174,321.203874
91.686974,166,322.086819
77.732858,197,323.146265
94.436045,186,324.191281
87.190358,191,328.560076
87.579863,166,329.450656
100.526414,170,330.3542
25.060189,102,330.90013
100.55983,174,331.789348
18.725296,106,332.37401
95.202592,175,333.288907
99.260581,176,337.605342
90.210898,206,338.775563
20.568508,97,339.309984
88.115333,182,340.3299
87.976641,160,341.214614
17.587802,91,341.7217
22.511456,94,342.24008
19.69764,94,342.772397
88.369307,188,347.443542
11.788183,114,348.066562
14.912657,102,348.643104
23.121.821082,218,349.754114
124.637142,268,351.213134
52.394046,146,352.012654
56.653369,160,356.31704
121.17912,227,357.552253
139.791531,232,358.849774
112.817926,202,359.974998
147.837023,231,361.253467
116.44817,214,365.443386
129.410423,210,366.541356
135.43441,225,367.765185
125.73114,226,369.005124
127.257938,211,373.610852
112.487786,216,374.837563
117.759706,212,376.034638
125.512249,196,377.141186
135.301719,211,378.333264
43.271956,129,379.048145
118.932175,228,383.632707
134.562169,240,384.921257
124.572585,224,386.135135
63.278996,154,386.958047
,198,384.310782
120.241798,208,385.451515
50.730469,131,386.15219
125.482716,217,387.269085
63.944421,262,385.295165
132.610006,266,386.705039
163.575185,254,388.060136
.426429
104.236911,178,387.371634
64,165,386.930402
91.029772,171,387.833913

144.309478,260,387.007398
92.834213,162,387.846428
80317,148,385.839511
93.210124,174,386.783074
75.86505,146,387.555063
3
92.61628,141,384.961037
84.760012,154,385.780235
90.866162,143,386.549394
92.984453,149,387.34593
56387
79.516895,134,375.123006
87.450528,125,375.82284
79.114594,138,376.598982
75.38665,136,377.370059
67.599534,127,378.067951
72.495394,133,378.824739
82.513562,135,382.913359
77.807542,151,383.739661
75.712749,143,384.488629
75.702115,139,385.261986
81.095163,129,385.935307
67.058788,131,386.643056
72.738608,143,387.407521
3.037184.875.323176,141,383.811482.580.046694,146,384.576773.76.142717,128,385.2827876.70.203882,141,386.0340782.76.164,123,386.696509
68.669427,139,387.427667
.631033,124,384.633392
76.155522,118,385.278921
80.596737,127,385.949875
78.214421,139,386.693746
65.888069,126,387.353926
