#{"t_start": 1777202834.837748, "env_id": "None"}
r,l,t
154.306779,136,2.699324522.582228,97,3.173355362.635248,169,3.74145443.973779,107,4.348896222.279748,87,4.89560940.114791,137,5.309834
178.567571,174,6.348742
18.94232,80,6.942611
16.113603,62,7.31866670.232151,172,7.689813
25.188415,103,12.478618
17.010602,62,12.899814
26.001889,96,13.510152
3.369878,36,13.7269.84210.404967,56,14.053883
2.838094,40,14.275.62.89.25426,57,14.63521.414.27768,62,15.04885104.235097,161,15.793952
3.556579,35,16.031875
8.66546,51,16.328001
457.109753,147,17.118344461.662061,137,17.903566
7.59501,51,18.177845
19.310938,90,21.985536
60.512243,148,22.823322
11.395589,69,23.212506
13.51999,61,23.5752
7.770069,57,23.907779
0.496797,28,24.055974
6.219453,49,24.3669231210.419169,62,24.746101
13.269509,60,25.0927223.37.793655,100,25.6996139.897682,132,26.09257
8.59152,65,26.454129
8.212814,55,26.765483
2.24667,37,26.988266
5.165974,48,27.272222
5.6977.339089,171,31.83915
5.071829,47,32.095754
2.634175,40,32.318941
13.958045,55,32.607074
14.991395,82,33.069931
3.182066,44,33.32466
20.936251,78,33.77983
7.561536,46,34.044614
28.260031,81,34.472119
8.114712,56,34.782361
22.951682,77,35.226948
40.30088,109,35.887542
5.26783,45,36.126397
6.664481,44,36.401548
7.157256,51,36.688807
30.663486,87,37.218681
13.606319,78,40.878585
7.599666,47,41.19739
21.041826,65,41.600804
3.117102,47,41.904247
16.428757,73,42.329406
9.127358,56,42.685181
3.871834,40,42.939223
6.652121,27.666629,83,49.691715,511.541924,54,33.998505,110,44.205868
32.259522,96,44.787725
7.639414,48,45.076743
11.060063,66,45.47384
7.417615,53,45.786304
25.298509,99,46.421103
5.635813,42,46.684.322122,217,51.073563
13.439.081885,119,51.73316.4310.634947,60,52.075269
5.526805,50,52.34128.439454,267,53.529694
14.926344,71,53.953998
12.450562,62,54.326317
10.149467,59,54.634561
19.729856,78,55.075931
23.186256,90,55.616031
22.893536,84,56.093255
27.152956,111,56.770848
17.106687,71,60.628291
46.842237,120,61.347422
2.880769,37,61.558952
3.132541,42,61.816066
10.559596,56,62.152502
12.55046,67,62.538833
26.604318,107,63.175543
24.475149,92,63.734005
8.980356,47,64.019909
2.942001,40,64.277345
31.285406,133,65.101826
5.445805,44,65.358429
4.580816,46,65.62081
1.722005,35,65.81802
28.167918,98,70.260236
5.785961,46,70.52983
17.896642,78,70.948885
8.419037,51,71.22474
3.64173,41,71.469582
3.142031,35,71.643831
11.546882,66,72.015902
6.840889,48,72.299847
21.710987,77,72.702415
14.786697,79,73.143786
6.501533,44,73.406669
26.78547,99,73.965662
40.291182,101,74.533381
12.324492,74,74.924688
8.054767,57,75.242662
5.042397,53,75.544638
35.918407,114,79.769552
33.686204,108,80.483355
25.181952,81,80.961056
37.757667,141,81.861005
14.184329,69,82.302596
12.639656,61,82.69595
34.340686,128,83.515182
51.22285,152,84.446895
4.58777,45,84.737367
4.342929,38,84.976097
-0.77647,26,85.146353
2.592557,35,85.368964
19.217355,74,85.823921
29.742772,107,90.359903
80.938463,187,91.386544
16.543308,69,91.792379
23.766566,85,92.26031
18.884068,75,92.681195
42.333494,105,93.32453
31.724268,105,93.94029
1.556879,38,94.151759
4.503791,49,94.437956
3.773544,46,94.693403
38.352711,120,95.407928
25.844753,86,99.251655
3.662767,40,99.481652
9.064035,58,99.830291
7.611224,49,100.103745
12.1617,72,100.54682
8.37509,56,100.868481
2.742159,35,101.081952
23.956113,94,101.644648
10.797882,53,101.965107
10.330924,59,102.291457
2.422794,40,102.527894
50.726786,127,103.303864
4.213237,48,103.603922
11.232769,62,103.970293
1.897569,31,104.141092
19.006473,77,104.583902
4.19488,48,104.855655
7.927324,57,108.656332
3.234929,42,108.908269
10.400776,50,109.199741
14.485222,64,109.5934.21815.270839,77,110.04319.130.776363,33,110.232110.79.454201,55,110.5406749.821358,134,111.230535
2.659163,30,111.392903
14.391377,65,111.784886
4.432.751075,132,112.495477
16.680773,72,112.879354
11.513574,63,113.232564
6.28542,53,113.521106
1.110403,32,113.722042
8.789194,44,113.974018
12.60872,65,114.339922
13.468646,65,118.147503
5.452203,48,118.439623
4.531937,43,118.6927.22515.300593,71,119.14359
15.044433,65,119.536384
2.279485,37,119.747763
7.638068,49,120.0640.6584.226905,42,120.31111.465.079346,51,120.627532.530.879643,111,121.280136.513.322087,65,121.7036736.7126,115,122.3468
41.131661,109,123.008835
0.47502,29,123.187002
22.070648,74,123.646348
5.839949,45,123.916222
13.497481,64,128.153914
9.091625,57,128.493695
126.307974,199,129.583704
4.479724,47,129.858591
36.076927,97,130.399659
14.127288,57,130.729539
30.723154,92,131.237443
20.099689,80,131.703814
7.413825,48,131.949377
68.11234,156,132.831043
12.632938,55,133.141811
8.408098,46,133.415809
40.119317,125,137.617997
4.921446,40,137.872298
31.124077,86,138.375044
12.222617,57,138.751733
12.321912,60,139.112593
6.076455,48,139.406568
21.527011,83,139.88741
11.567965,59,140.227872
13.303636,60,140.550848
24.462267,85,141.038763
6.867267,49,141.276747
6.107836,43,141.532886
15.20756,67,141.935691
11.984404,57,142.269663
25.826559,83,142.747231
5.503914,45,143.027453
45.058869,142,147.699975
3.025251,38,147.93839
0.670771,28,148.107432
9.65499,50,148.4097
0.64471,28.821373,49,1429.109163,91,149.111948
26.379299,82,149.593221
14.968751,73,150.01793
20.709024,82,150.453917
39.037561,95,150.975847
6.215103,39,151.203153
22.734672,74,151.613629
15.968723,70,152.02203
40.012395,115,152.655725
24.285628,86,156.805946
3.361419,43,157.052026
27.884783,88,157.612765
15.328692,67,157.990416
2.585541,39,158.229843
18.880844,69,158.652914
20.697298,76,159.153219
1.895987,35,159.371693
28.0449,87,159.932983
32.874771,85,160.420511
3.841518,43,160.687623
19.715221,81,161.186214
4.170751,42,161.418255
2.070287,43,161.693881
0.908338,35,161.888546
21.078881,76,162.391648
3.16971926.655043,85,1624.32700718.662727,75,16611.4370015.465082,42,167.14.2352.402957,42,167.38023.603541,75,167.794127
2.667674,40,168.038538
36.540.071366,105,168.5527.545826,46,168.832811
29.044481,82,169.276776
1.17463,33,169.477913
6.874228,50,169.761767
19.717048,81,170.221414
43.381826,108,170.804524
5.247237,43,171.081928
20.671977,66,171.431431
4.2359.547023,134,172.135.482714.210489,53,175.732.73609.869884,57,176.16.792345.583222,41,176.310.343012.812975,75,176.829.222466.593386,158,177.741298
45.68702,143,178.612751
7.550061,49,178.891379
31.76924,91,179.46895
5.778172,48,179.791169
17.122272,69,180.203064
10.546968,51,180.478719
19.136837,64,180.876357
11.480568,49,181.182966
14.478989,55,181.481423
48.039203,131,185.648688
9.927413,55,185.953912
14.92452,62,186.267855
5.681061,44,186.513394
24.646155,79,186.944673
27.971476,89,187.420308
8.995531,50,187.700591
8.771748,45,187.929313
4.277194,39,188.170518
29.35211,96,188.685871
13.528855,65,189.048491
24.446348,74,189.447704
2.328941,32,189.625632
30.158624,89,190.149279
38.302171,121,190.80066
29.188642,78,194.714426
17.024709,68,195.097939
11.696469,61,195.454009
29.787638,86,195.963699
9.384281,51,196.245739.06.454973,46,196.528916.73.977215,47,196.7834242.245972,114,197.4468
13.835.330296,97,197.80120.0625.619893,85,198.235.859179,93,198.766705
2.068128.041134,185,199.126.046049.716462,134,204.10.8006222.224457,70,204.30.9003422.661823,75,204.41.6711634.340074,86,205.418.810314.924078,67,205.730.109746.981744,133,206.45354
40.965586,115,207.033437
19.553486,64,207.388138
23.002783,62,207.719979
83.990772,179,208.655801
107.589644,210,213.419662
128.028138,184,214.420676
17.052188,78,214.871749
20.335588,67,215.22185
102.056897,166,216.146507
72.7402,146,216.916535
65.988607,145,217.658351
128.384286,202,222.657065
107.054037,183,223.590619
60.73927,130,224.221139
26.24481,73,224.58
58.633815,121,225.193395
37.974444,92,225.65391
24.297979,71,226.026839
59.404431,138,226.691043
128.520116,184,227.596968
14.676049,59,231.665817
35.011511,105,232.262246
128.469854,186,233.400444
64.509597,133,234.126386
32.873412,87,234.625262
72.437726,134,235.365259
105.714217,167,236.273071
62.338983,132,236.982507
127.797997,191,241.801571
87.675517,152,242.559917
127.906052,183,243.461657
127.846119,178,244.350641
128.649528,187,245.270305
98.117672,172,249.583514
28.558321,80,250.000363
46.267702,115,250.618563
128.479049,201,251.714182
19.852195,74,252.092311
128.213007,199,253.17739
88.55457,168,254.059435
76.168385,139,254.805007
127.863199,176,259.158306
128.424472,183,260.054515
128.486366,178,260.918187
30.875798,97,261.385741
128.158539,177,262.361114
127.485305,167,263.198844
39.676093,99,267.315347
16.102229,67,267.696877
98.362996,163,268.598392
127.566139,157,269.461045
128.642903,180,270.46831
69.786505,128,271.15626
112.385118,153,272.002138
12.870449,61,272.377347
9.626571,44,272.657345
127.600702,157,277.018793
26.143334,78,277.439914
128.330139,154,278.217744
111.423296,164,279.043375
128.426694,182,279.979817
128.525611,158,280.762543
31.222195,82,281.171088
128.587668,184,285.667499
128.072204,155,286.474842
38.872004,95,286.984358
90.468365,134,287.68955
128.460894,162,288.52444
128.158991,150,289.32062
128.432506,167,290.186357
83.624053,127,294.529604
128.031069,163,295.316292
69.040651,99,295.815749
128.056059,171,296.654192
64.161086,118,297.242544
127.753381,162,298.023342
127.592125,156,298.801089
127.768152,177,303.497512
128.17738,160,304.356863
127.665767,163,305.259714
128.012514,173,306.171685
127.914127,159,307.032903
127.858554,163,307.948027
128.409461,164,312.524627
127.721607,158,313.325457
127.914277,159,314.160485
128.364749,151,314.912058
128.327704,148,315.654436
128.329323,174,316.522046
128.119241,153,317.290161
128.29331,166,321.895466
128.604105,158,322.689297
78.866012,132,323.410867
128.62335,174,324.391839
97.122303,142,325.111779
128.152236,165,325.953305
128.044157,148,330.078171
128.44214,153,330.821346
127.976095,152,331.551239
127.589599,150,332.279161
128.486287,161,333.0709
106.904066,152,333.824594
127.719948,162,334.661747
35.32351,88,338.77495
128.045741,157,339.670557
128.306711,154,340.52083
18.820383,61,340.877632
40.132351,88,341.344957
127.754784,148,342.142445
99.327113,154,343.00964
36.990359,76,343.453097
128.292306,160,344.354538
127.666584,165,348.689963
127.893997,140,349.390047
128.433255,181,350.278739
128.264872,138,350.972447
128.679878,155,351.77985
128.090069,149,352.513436
128.209288,159,356.780739
25.040038,65,357.117281
127.743473,140,357.870744
128.54754,137,358.603699
127.83631,151,359.423958
127.397966,146,360.238532
127.393535,138,360.960699
128.514968,154,361.760447
128.259656,140,366.139604
71.706143,126,366.796428
72.73063,120,367.425673
128.441132,144,368.126512
8.11587,43,368.357249
41.561945,83,368.788895
128.226707,146,369.516723
13.455145,52,369.7887
104.447496,138,370.478758
128.425438,154,375.182098
15.856506,52,375.478292
128.291914,156,376.345933
128.591872,144,377.129296
85.168102,128,377.829028
128.066278,143,378.647496
127.992141,158,379.491386
128.597876,143,380.310406

9.53369,46,368.87055
17.486884,54,369.140804
23.046765,63,369.45486
126.303601,143,370.165089
125.484009,153,374.821723
48.014514,93,375.370322
126.497347,131,376.094517
39.494968,80,376.536538
103.617619,141,377.296349
125.633102,146,378.108248
102.357893,134,378.857908
100.081482,135,379.59534
62.390256,106,380.176681
113,350.703865
99.261457,116,351.306929
19.803104.129453,133,351.41.178142,81,351.978189
78.2770103.603379,124,352.98.85838103.206031,130,3598.782584,133,357.326518
29.231128,734.751637,83,376.570091,1103.896442,12198.806222,119103.625102,1342.119364,80,3103.264797,98.733003,116,3673.734024,99.187658,125,36103.67981,98.764914,127,36103.13511274.714573,124,36584.54404798.660305,117,36665.73340998.979265,119,366.969404
25.607061,59,367.283242
98.979906,116,367.859902
62.240667,100,368.365858
46.481806,87,368.805735
82.374184,112,369.354761
8.948569,40,369.565578
20.58059,56,369.868286
99.224236,131,370.516947
99.443051,125,375.047406
98.417646,122,375.753632
17.260281,56,376.066477
98.638528,110,376.666475
99.492412,116,377.292063
99.543131,126,377.985981
39.555241,77,378.4104.02599.308915,123,379.110471
28.131067,75,379.506375
98.39892,118,380.162699
7466,90,379.834986
3
111.537538,129,369.378261
88.655008,124,370.015476
36.407,77,370.387672
7.64991,43,370.59325
10.932597,48,370.840739
49.620269,94,375.234576
112.704564,142,376.064181
26.447331,66,376.412761
112.430541,131,377.113535
112.476528,132,377.832628
112.103292,149,378.68497
81.927142,122,379.354569
111.819659,124,380.028931
28.847522,67,357.686055
30.350443,72,358.072712
118.382191,144,358.835333
118.276851,137,359.611837
4.437258,35,359.813178
23.96504,61,360.141232
118.000276,145,360.905077
10.444148,46,361.15256
118.653578,140,361.881264
17.58392,57,365.844005
118.062947,134,366.51604
51.971624,90,367.000733
84.993983,122,367.611679
117.977398,145,368.349783
118.84438,137,369.036298
69.031018,108,369.587426
3.1723118.388784,147,370117.7026,119.211086,138,380.11292,1185.129698,122,118.337859,45.328854,99,375117.9230599.048727,144,376.118.622299,137,377.18327
117.937484,144,377.970552
64.784225,111,378.607079
118.736284,128,379.303389
118.760385,139,380.065572
8.379109,45,380.348186
248619
74
122.892857,151,377.40532
122.338629,148,378.24103
123.102097,149,379.069346
122.864443,166,379.967331
4561
80.928274,124,366.122449
100.35777,120,366.736836
12.652922,52,367.022912
100.232014,124,367.64262
100.101866,118,368.228138
100.303717,128,368.900929
10.867799,47,369.134023
51.500221,95,369.616479
80.876808,123,370.23064
8.752548,46,370.464625
5.328505,42,370.670959
9.272187,44,374.781348
99.966875,126,375.501415
72.532261,117,376.147545
99.908471,122,376.812797
100.412846,122,377.470426
99.380152,127,378.185431
100.156109,122,378.86699
100.246962,131,379.582201
9.641655,40,379.802051
7.493708,40,380.023082
32,361.578048
89.588713,117,365.876906
109.677859,144,366.593834
14.173728,52,366.873985
7.177675,42,367.091568
109.510127,135,367.770902
73.827776,111,368.330019
79.857683,112,368.91176
88.01913,123,369.521339
108.734134,129,370.172328
29.140302,66,370.512629
25.522287,69,370.842657
108.644409,128,375.470153
89.212152,130,376.186613
109.752217,135,376.913617
108.949209,131,377.625031
34.868531,71,378.031876
109.147021,133,378.777705
109.579887,134,379.513054
108.566539,126,380.212338

100.500216,126,375.602767
100.393033,129,376.329457
99.766025,122,376.979703
55.115322,96,377.507493
0.927264,25,377.648416
99.949381,120,378.329245
100.513775,123,379.007108
100.034634,131,379.720056
39.724737,87,380.213778
19,343.036555
98.48312,117,343.704377
6.54803,38,343.908981
98.913828,113,348.029794
98.810129,122,348.647483
38.696715,78,349.056005
61.044215,101,349.552807
98.843178,131,350.188395
98.878164,120,350.799544
62.146809,108,351.363103
76.889425,124,352.000581
98.4096,120,352.586519
30.851503,68,352.924055
98.498508,128,357.033358
99.500535,126,357.698319
99.498843,133,358.41893
98.560104,127,359.108292
99.14375,121,359.779188
98.823184,108,360.37206
99.28917,124,361.024336
99.397939,126,361.664577
37.014332,79,365.755661
82.686036,119,366.342402
3.327542,31,366.501664
4.515464,34,366.677143
7.993958,36,366.89
99.350947,125,367.518549
21.215907,63,367.833816
73.608237,117,368.44043
99.083297,124,369.056705
29.505173,65,369.37826
23.509805,59,369.690483
7.760853,42,369.912401
98.424607,121,370.512629
98.423666,124,375.032332
30.155286,71,375.451061
6.969717,36,375.649981
99.115747,125,376.349984
48.166647,83,376.793923
57.086937,100,377.341159
70.071323,105,377.914268
33.591609,73,378.333968
98.964697,124,379.01447
99.238249,111,379.627903
99.006342,121,380.32193
