#{"t_start": 1775663245.433027, "env_id": "None"}
r,l,t
--1.758428,158,2.545232
-5.219993,130,3.260939
5.975266,135,3.99332
-8.73814,61,4.350018
-9.566695,44,4.623286
-17.188038,106,5.261274
-14.151529,46,5.508319
-10.383178,37,5.714373
-9.063255,67,6.093161
-3.216242,113,6.806805
-11.427079,54,7.132914
-12.615783,80,10.199574
-13.930402,121,10.843823
-10.187726,38,11.051909
-8.21931,77,11.487062
-8.497131,52,11.815918
-14.447737,139,12.636314
-16.083843,62,12.975628
-7.667261,58,13.314836
-11.084,40,13.520857
-12.899123,57,13.855411
-7.183083,82,14.319027
-13.714078,79,14.755266
-9.47578,47.639468,126,-13.92681,-10.690642,132-3.016932,90-13.615304,79,19.004277
-12.617976,-0.183991,150,19.722157
-7.57703,95,20.263051
-11.30263,37,20.475775
-2.927834,174,21.476808
-8.528736,55,21.799985
-10.378756,62,22.163332
-17.577406,94,22.702099
-5.846807,136,23.44436
-8.627447,62,23.791116
-13.615611,125,24.575115
2.606988,132,28.741656
-7.973871,41,28.98363
-10.788807,52,29.299345
-5.647344,112,29.953565
-10.187904,52,30.303085
-4.104762,52,30.585938
-8.083409,49,30.869012
-9.533074,35,31.081049
-7.398953,112,31.731485
-12.172907,126,32.465266
-10.027292,82,32.970359
-11.583618,81,33.45615
-9.667796,51,33.758451
-8.54683,118,37.267134
-10.457377,34,37.470078
-8.29089,67,37.873999
-10.066416,33,38.067836
-4.900867,114,38.724855
-5.243661,55,39.056865
-12.771496,44,39.322854
-5.234043,88,39.850361
-13.919342,60,40.203786
-11.24189,33,40.393488
-12.360298,44,40.654805
-11.107535,53,40.958634
-6.029407,74,41.379681
-6.012233,151,42.268993
-9.526443,40,42.504989
-0.83752,96,45.963249
-2.828969,86,46.5074
4.672665,109,47.160966
-5.623334,56,47.497584
-8.863133,56,47.825164
-9.258701,54,48.143317
-8.341723,53,48.458589
-8.969589,91,48.997127
0.342438,93,49.616464
-2.831888,63,50.012872
-5.366374,111,50.685102
-8.274987,34,50.889601
-11.715881,38,51.13115
-5.733388,58,51.47166
-9.645328,53,51.795755
-6.383195,49,52.088134
-10.858288,39,55.029408
-12.274854,58,55.358497
-12.372791,47,55.645285
-10.926148,39,55.863308
-11.720608,57,56.215589
-10.441896,36,56.446741
-12.243512,102,57.034297
-9.748789,36,57.252405
-14.245452,67,57.646147
-4.605034,84,58.107777
-10.988704,40,58.353008
0.347388,112,59.019134
-11.597069,36,59.20696
-10.489679,36,59.450277
-10.178638,45,59.718411
-9.704728,52,60.0115.551-6.558397,66,60.403-1.024339,77,60.745676
-7.60-12.257284,101,64.-7.90748-18.399193,100,64.650937
-12.592783,53,64.975837
-12.496683,361.262991,101-11.442661,3-8.559374,44,-10.604462,0.165715,70,66.109304
-10.636503,40,-9.310517,4-2.871954,97,66.988039
-10.230554,54,67.379681
-4.98026,53,67.702964
-10.464194,32,-14.12111,7-4.701825,66,-3.968275,88,68.628172
-6.147823,5-3.331512,75,1.034674,92,69.517224
7.123699,137,73.033487
-3.447719,74,73.475748
-11.253717,58,73.844783
-9.066548,81,74.324162
-7.829937,488.49636,112,74.831802
-5.020513,59,7-7.679023,-8.216155,42,75-2.385166,95,76.006734
-4.794704,54,76.334616
-4.190411,123,77.056422
-11.546357,34,77.277203
-6.550455,67,77.665745
-5.3107,54,78.027515
-6.230561,60,78.339804
-9.976342,37,78.566599
-0.1837,105,81.913051
-9.405847,46,82.178809
6.394413,110,82.814152
-13.276581,65,83.186021
6.118963,110,83.820792
-3.552447,95,84.350163
-10.377546,41,84.625386
0.683807,154,85.535688
-5.38909,67,85.928064
-5.758498,56,86.262269
-2.885815,73,86.687308
-10.722568,36,86.903627
-5.052186,57,87.212757
-2.201839,73,90.448511
-6.11342,81,90.934418
-7.739541,63,91.297116
-11.945025,60,91.647595
-1.716501,84,92.155716
-8.539796,63,92.518479
-12.198241,71,92.912514
2.637832,116,93.602406
-8.301707,67,93.993494
-6.59803,76,94.442656
4.435227,81,94.955622
-5.184322,75,95.405866
-3.670078,74,95.834694
-9.581001,43,96.102271
-5.704591,65,99.227737
-7.701855,55,99.550801
-5.109688,58,99.885795
-5.462902,81,100.385876
8.045507,95,100.919711
-1.954229,89,101.393848
-7.968399,85,101.888062
-5.126848,63,102.245865
-9.270982,56,102.593996
-0.140975,67,103.001981
-15.134929,65,103.370741
1.309086,100,103.963811
-3.514011,64,104.35702
5.224339,95,104.902404
3.078074,86,108.141867
-14.611253,80,108.630626
-5.742067,61,108.97774
14.098183,176,110.092054
1.604467,100,110.646016
-6.230002,72,111.081569
-14.253975,72,111.508698
5.714115,87,112.015095
7.178097,143,112.810029
-9.537897,88,113.303407
-10.321248,43,113.563139
-9.933383,83,116.795319
-8.031304,60,117.138213
-1.676367,65,117.501137
-9.518742,42,117.711041
-3.09386,59,118.072308
8.324168,105,118.705098
-2.685773,76,119.118301
-7.626343,37,119.338838
-3.813781,60,119.693743
5.387846,123,120.429444
41.634037,200,121.535539
-9.917563,50,121.851818
-1.915627,98,125.154318
-14.874936,61,125.489599
4.243062,119,126.1965
-0.661114,63,126.539258
-9.956922,57,126.892534
-6.437419,84,127.349103
-10.0386,35,127.548162
42.391387,174,128.493535
8.231084,112,129.15983
-7.826091,110,129.771923
-4.851369,56,130.083224
-2.096888,61,130.451835
3.527308,83,130.9054
14.977194,161,134.592701
-7.901743,111,135.175468
-7.284918,45,135.424296
3.860187,96,135.979883
-6.5202,58,136.298053
0.061548,84,136.805656
-9.782448,79,137.228966
9.262955,104,137.796742
1.531834,172,138.782301
-5.7141,53,139.068157
-9.613776,62,139.422543
0.911073,91,142.707655
-4.496057,88,143.195763
-0.48799,111,143.817137
25.092764,172,144.806934
2.753193,111,145.412399
-5.15153,45,145.662633
0.234161,65,146.021906
-6.919141,45,146.26215
-5.691991,64,146.603185
6.357862,128,147.326691
12.829262,101,147.897912
-8.245553,35,151.023467
18.040024,142,151.786555
4.453683,83,152.223209
-8.315071,40,152.43273
43.734168,199,153.468979
-2.650379,116,154.097433
64.030676,175,155.02268
16.606277,121,155.678983
28.102123,147,159.189869
12.967411,120,159.839648
45.877693,182,160.804392
-0.025062,71,161.160856
-6.835197,62,161.496255
-5.61091,52,161.804882
-6.194468,51,162.068493
-7.595628,71,162.444019
-5.27684,59,162.762644
5.789723,92,163.248737
7.200662,141,164.00925
61.51057,173,167.74466
18.470186,128,168.425996
-0.93705,75,168.838262
-4.152061,76,169.240272
61.886915,151,170.04563
53.314914,178,171.030457
15.451971,94,171.54331
6.149861,99,172.057322
-7.880723,46,172.297651
-8.781935,56,172.602659
-0.746931,75,175.779106
27.883998,124,176.411379
12.679104,112,176.979889
21.193054,136,177.700423
36.34811,153,178.476918
26.697229,167,179.362303
0.681837,93,179.839633
20.829724,132,180.539201
29.302996,162,184.163526
22.412726,122,184.804493
2.491834,85,185.246736
45.375468,167,186.107541
13.394097,114,186.680267
19.903642,124,187.350267
-2.678544,93,187.840967
60.507347,158,188.640314
61.49996,154,192.266581
68.739346,155,193.073134
60.482991,154,193.871064
57.22096,148,194.718529
67.978893,146,195.479643
58.782102,144,196.226875
25.258992,139,196.957577
62.632676,167,200.598849
5.132259,76,200.994561
64.929627,159,201.828862
11.715858,97,202.341072
6.368711,79,202.733684
16.040559,97,203.239841
8.734434,74,203.619498
39.120406,152,204.413664
66.333059,152,205.1791
41.301943,132,208.650705
72.667792,148,209.434351
61.087503,141,210.155347
74.716919,140,210.878247
39.262946,129,211.531965
65.648354,162,212.364704
59.51486,142,213.127169
15.428716,92,216.379586
22.643966,119,217.018416
-9.609797,36,217.22194
-8.779415,42,217.448367
-4.651588,42,217.678026
58.217943,141,218.436815
4.951175,87,218.884584
20.034596,117,219.551316
18.24138,99,220.060562
-4.717568,60,220.411339
33.830185,140,221.158518
-4.415645,45,221.415062
66.536896,148,224.943678
31.82355,136,225.649114
-5.75365,47,225.92506
56.44393,154,226.710906
20.349965,114,227.301651
26.089666,143,228.064835
64.458442,133,228.7688
30.703759,124,229.413906
53.730607,144,232.93371
63.07585,132,233.609951
16.884524,89,234.074309
19.046342,91,234.580487
62.423211,140,235.312549
63.351578,154,236.110999
37.708069,129,236.849741
52.609543,148,237.614184
0.261958,56,237.917668
17.142145,102,241.179724
76.751155,141,241.909853
65.49244,133,242.598192
58.003402,130,243.263967
57.349685,145,244.011489
59.33205,143,244.767834
66.465535,136,245.465319
45.422157,137,248.906914
67.547304,149,249.689798
70.50242,144,250.434183
65.250272,140,251.163184
68.124216,148,251.93187
56.91086,128,252.616108
58.43847,136,253.310942
77.307381,131,253.982127
58.911632,127,257.4042
71.777539,128,258.058678
66.06546,146,258.825718
70.108641,133,259.556732
18.293982,81,259.98363
67.300886,141,260.720132
62.497041,131,261.386212
28.829492,115,261.973771
71.501212,134,265.444543
53.336458,133,266.141887
56.573196,131,266.817356
57.884193,132,267.510173
65.425681,131,268.206312
59.239345,146,268.948638
3.61732,74,269.358469
35.318715,130,270.03002
5.027389,83,273.221063
30.514954,112,273.811809
66.241853,135,274.528485
63.705579,143,275.279743
19.921535,97,275.793853
-4.516698,62,276.130068
58.897292,130,276.804695
58.329916,132,277.487851
56.671611,134,278.182702
11.845366,96,281.460953
-8.700504,29,281.661644
-7.444907,36,281.902208
-7.887729,37,282.162789
-4.887492,42,282.427696
-7.391481,42,282.744177
-5.831742,48,283.032385
-9.690454,30,283.222711
-4.813901,48,283.545886
-6.419402,39,283.79291
-0.879388,56,284.128808
-6.98249,34,284.348116
-4.879134,50,284.690544
-1.593396,56,285.039145
4.504643,62,285.455344
4.64619,61,285.832135
-1.157218,53,286.194412
4.171974,62,286.585809
-4.77513,44,286.860026
-9.681538,28,287.037129
-9.805852,31,287.237805
38.33017,113,290.748142
-8.931718,32,290.967321
10.407398,80,291.496314
8.657935,75,291.983539
-6.961819,37,292.222526
-6.63569,41,292.488261
-2.905659,47,292.789376
-8.831975,40,293.049982
-7.749574,37,293.291879
-7.111889,43,293.567996
-8.286892,34,293.789813
-0.439897,56,294.154024
-9.099827,37,294.418165
-7.757829,38,294.658563
-4.442832,42,294.940615
2.800008,54,295.322875
-8.151485,33,295.563109
-6.254087,41,295.838129
-8.005399,33,296.042618
-8.488562,33,296.233576
-9.455335,36,296.488236
-6.090221,41,296.748297
-6.399186,46,297.014458
-7.234372,36,297.261785
-1.937105,55,300.364495
9.709796,79,300.832879
-7.086469,38,301.070669
-8.974075,34,301.282601
34.102911,100,301.846592
30.462558,114,302.529435
-5.711252,43,302.797276
-1.514298,56,303.114856
-4.675325,52,303.423698
18.969714,95,304.008569
0.353812,68,304.431784
-6.122789,38,304.65267
14.462684,81,305.139755
-0.97826,59,305.477552
-4.436816,40,305.717398
-1.840626,56,306.059473
5.326249,77,309.271633
44.214462,122,309.931094
5.093497,70,310.298058
64.931992,129,310.967813
41.95223,126,311.652888
7.660774,76,312.078428
62.138961,123,312.732341
56.247772,122,313.391735
-3.406695,44,313.653689
5.03693,57,313.944058
1.445099,67,314.306572
20.280829,95,317.572973
64.774694,130,318.280468
9.591472,85,318.735939
58.850472,123,319.379072
66.731784,133,320.085332
69.142409,134,320.804726
65.174734,130,321.479868
64.837994,132,322.170709
5.943503,61,322.503363
68.708358,127,325.964633
59.420143,126,326.624005
74.911542,128,327.309395
74.35012,124,327.95033
67.644748,124,328.610482
44.978789,125,329.250623
54.760924,130,329.931268
59.633556,123,330.618412
62.185214,128,334.205953
48.415645,129,334.923894
54.458702,130,335.635821
57.184019,126,336.320338
60.361638,123,336.974733
56.188001,130,337.664176
47.01987,127,338.352898
9.705287,75,338.770106
7.149774,64,339.096942
5.380986,63,339.432068
64.513256,127,342.847872
66.421867,126,343.529359
63.707718,120,344.155243
60.534895,129,344.823558
70.907668,131,345.510413
64.110833,127,346.187883
64.471784,124,346.821835
59.167971,120,347.455153
11135
59.706194,118,335.182262
11.460731,73,335.550034
65.161017,118,336.203068
31.120035,103,336.752739
53.858773,123,337.416439
10.520844,67,337.772918
59.798742,118,338.421023
58.137602,119,339.043542
65.243808,117,342.419986
55.81074,120,343.050193
61.627556,123,343.697314
61.99433,125,344.346937
50.832452,112,344.939112
29.246683,115,345.544474
55.089122,123,346.204495
61.991503,129,346.863226
8.586574,61,347.189169
65
63.102876,98,326.683763
42.325776,105,327.235725
52.565842,104,327.765126
56.548347,99,328.280566
54.31671,98,328.799033
55.696194,107,329.366753
51.78504,105,329.924077
48.561361,104,330.504471
55.453895,104,333.978444
48.485275,102,334.521843
54.24014,98,335.072944
53.874631,97,335.591312
45.150546,101,336.125153
12.17547,77,336.538047
45.191844,105,337.103783
53.083457,101,337.657615
51.73941,101,338.197502
51.516352,97,338.729255
45.141314,105,339.2795
52.209399,102,342.570436
48.777433,102,343.103041
-1.129452,59,343.41221
52.289017,112,344.008579
50.138836,104,344.559812
43.761579,96,345.057973
48.789619,101,345.59349
47.459181,103,346.135846
48.51008,98,346.643207
50.991298,105,347.200246
0.478606,131,344.64068
39.059496,120,345.274787
48.859151,116,345.886086
51.106328,126,346.53554
52.666657,124,347.183874
44.392005
45.356146,102,344.923675
41.388988,100,345.450119
51.746261,103,346.002922
49.875358,105,346.54405
49.784264,104,347.071091

43.268974,111,318.657978
54.455744,117,319.270076
-1.037747,57,319.597049
59.265192,123,320.236559
-2.996087,57,320.525051
47.801398,122,321.159985
50.255573,115,321.784912
54.840481,116,322.396878
46.73397,113,325.775169
1.53627,72,326.154582
51.188562,112,326.752974
44.35786,112,327.352104
46.047469,112,327.917831
45.576499,110,328.514864
-2.189607,51,328.763189
26.125574,102,329.307271
47.26108,118,329.91419
17.281669,81,330.395422
-1.412236,56,330.684997
-1.588257,54,330.990909
54.021064,113,334.486407
52.875503,110,335.111864
55.135625,115,335.733598
44.167511,111,336.33645
45.415953,112,336.925742
57.144883,118,337.549763
59.267459,114,338.166929
50.467646,111,338.785158
54.860883,116,339.385172
49.358051,117,342.756128
50.422177,103,343.285563
50.782817,111,343.86595
46.779982,109,344.454017
52.636728,109,345.024517
58.130523,110,345.600204
53.556102,109,346.182883
49.203584,120,346.785228
34.612777,111,347.377629
729865,122,346.375378
55.080201,114,346.952933
1,118,344.706303
46.594817,110,345.285572
51.393745,114,345.88746
52.334269,114,346.469179
62.067115,120,347.096917
69813
43.704706,110,346.247604
49.947603,111,346.809197
53.340763,116,347.416559
23,103,339.147368
49.91083,99,342.426326
48.893904,98,342.934616
40.728106,98,343.444651
29.627564,107,344.013638
48.208358,100,344.54031
43.114789,102,345.07917
51.93639,105,345.633534
5.253668,73,346.018125
47.424863,106,346.562485
45.319632,99,347.074106

44.074022,98,345.757962
46.644577,102,346.297568
50.133941,102,346.80514
51.889666,105,347.355875
89,101,334.64257
43.258326,101,335.216583
19.279736,100,335.757123
49.844195,102,336.297495
44.47488,100,336.83278
49.176779,104,337.379923
45.714105,106,337.950782
48.590932,100,338.504516
47.532293,102,339.042816
42.063137,100,342.328814
47.744668,101,342.857704
45.789976,101,343.378263
42.733601,101,343.914887
42.096608,96,344.421084
38.488156,99,344.950727
45.371938,103,345.479122
43.9565,110,346.073007
46.637445,99,346.586639
20.374165,95,347.063833
